voter.address,total_proposals,total_votes,for_votes,against_votes,weight,abstain_votes
0x06c9d1c55aedfe601d938bde1fa03109a6e940b7,2,2,2,0,1.7977166947843083e+22,0
0x81b0ed48fc524c8ef4ca28830d1cbba26e72f218,9,9,8,0,1.7781571436396669e+22,1
0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,8,8,6,2,1.7699600000000002e+22,0
0xe793542db8d2c5f0068e7dedf8900c3c53e47ee4,4,4,4,0,1.7633170037911629e+22,0
0xddfba3aad19d3f466472b5ea8a5b0f77e59b4fc6,3,3,3,0,1.7602876781277502e+22,0
0x22ca15d654293e5ebc5946b27ae3924fbb2d39ad,3,3,3,0,1.75188871e+22,0
0xc4d82f1c4cfb550df0dd4d5a0d81af1fdf237816,10,10,10,0,1.7500000000000003e+22,0
0x98a1932b1e4a15c6ec0c72cf4e4b6ccf6c495b2c,2,2,2,0,1.75e+22,0
0x9109358674f1c9a1a945a1d9880fb7ef1ddc43a3,2,2,2,0,1.75e+22,0
0x1e4576dfbdc389ee0b42b4a5d0b7ffbf600785b5,7,7,7,0,1.7499999999999997e+22,0
0xd20491a2c75c2d3d3eb635dac3c7805a608e41e9,8,8,8,0,1.7496882895326844e+22,0
0x83f4ff6eebde47df8eaa60fe3562aabbbabe7df3,8,8,8,0,1.7400000000000002e+22,0
0xba097d06d59945e166a748d928bdf63e040dc58d,4,4,4,0,1.7387451612622678e+22,0
0xb757c0f0020600b3a239c33a7e6a0c2b991ca878,2,2,0,0,1.725e+22,2
0x0cb584c5cda6c048a4eb76bd114d6b8a128b0dde,2,2,2,0,1.724996e+22,0
0xf8f74902ca4322b5dc2fca74d711eeb835e106d3,8,8,7,1,1.7170471179358233e+22,0
0x97dec8aba769947a7bbae7299adbe96a58c4b9fe,2,2,1,0,1.7138e+22,1
0xf6d0b4927abe28e5156df0abbe62dfd02a61452d,8,8,5,0,1.7001776414471257e+22,3
0x81a718a9ef4b16b714fd08c4d8470aa1094a0575,16,16,16,0,1.6875250000000004e+22,0
0x17dc20c43e396635e36dfa60d9b8e6dfb84d3410,8,8,7,0,1.68747e+22,1
0x4a937bc9e1f552cbe3775bbc80ee5d3d3abef753,1,1,1,0,1.68039255776675e+22,0
0xe9298abb48e12a4baca6d1a9aa053bca73f6946e,11,11,10,0,1.666406860577e+22,1
0xa8f5eba6aa0c6b1dcb357f1a76bdd8cf1f89e738,2,2,2,0,1.6577598131987886e+22,0
0x9f3e6825d3677f0228153f01da1da9f9a856d688,12,12,12,0,1.6557918806655782e+22,0
0x111c26a02ca4050684d4083d72e2a7c1dcba853f,5,5,5,0,1.649940346e+22,0
0x2e7796a8cf69b458a79963b35545f1744e682fec,19,19,18,1,1.648056289242301e+22,0
0xcbe7009dd3d2c48fb291a015275db1225cbefe98,14,14,13,1,1.634700129226615e+22,0
0x42953fb16d6d945d896803e235459ae73f758429,14,14,12,1,1.6255999999999996e+22,1
0x89d96cca92b3710e4b70dc9eed1e6d198f218978,14,14,12,2,1.6253999999999994e+22,0
0xf505253740002665bf34a2fd4fcb1844f431e2f0,10,10,10,0,1.625e+22,0
0x778e7382d85c0167e6803b8da8bc8afd9fa5ac70,5,5,4,0,1.6232287934750115e+22,1
0x158970ab077ae060c96785e43e003926547b58f9,6,6,5,0,1.6193180159587465e+22,1
0x4d8a99d36fdc19d6b991a45bb21f0c2f4a0e7ed4,7,7,7,0,1.6132438525368997e+22,0
0x45cb8f66b256382729b2887217edb25e731e56bf,3,3,1,1,1.6120898858685122e+22,1
0x6240c96a51140da02230274c7dc7d9da44ffec0d,6,6,6,0,1.602e+22,0
0xf01539c8dab49c6daf647c380f8624c93aefeac6,2,2,2,0,1.6004188582759132e+22,0
0x64e87249611d98d54e6624ab64d119fa7e7a61d2,2,2,2,0,1.600001991479319e+22,0
0xd01c17d7b13bb387361a719db7b4437d0e1a9f2f,6,6,6,0,1.59992e+22,0
0x7720a9e6e0115f888fce4c380d0ca92ea2cd3659,6,6,6,0,1.5923238514568422e+22,0
0x0d9d0ff2dbfe1e9a38c595b2a0b846f8594a9ff1,14,14,13,1,1.5889999999999995e+22,0
0x428baba3fab3a655cf4b6f9d1636112fe11a641d,9,9,9,0,1.5750000000000005e+22,0
0x1054839f91fc56def190b563ffbeb60a285eaa47,9,9,9,0,1.5750000000000005e+22,0
0xbd2298c3123024b11c5c53291a126222a7c5ea31,13,13,13,0,1.5748021191131689e+22,0
0xcd5d8a3ecb1780316e653dfe00f8b0335fd8ece1,7,7,7,0,1.573159241115594e+22,0
0x777f300a556ecc0b52dee2e07c02e82f413e2f3a,8,8,8,0,1.5509999999999998e+22,0
0xb83ac7549db7774ab59117483933bcf11f27c090,7,7,5,2,1.5429257188689425e+22,0
0x6830c5a4f1a1023d5e9bafeb221cebc9eb6f8ed6,6,6,6,0,1.5426664524436524e+22,0
0xc821da8f59947715030e0a0c301719b77fbe6be9,6,6,5,0,1.5371534012549368e+22,1
0x63e9c9f13be2ac443fc45fc0470a5a6a3e1876cd,4,4,4,0,1.5323940451734954e+22,0
0x043ac44f8cec7e359a31415f1e54459a8c2599a0,4,4,4,0,1.5089074822432835e+22,0
0xc79b6a8ee35e7cb7416f35686ab95fabd0bce864,5,5,3,0,1.506092464112555e+22,2
0xb1da8736a1ab845df4e87040920663499f692727,4,4,3,1,1.5048557115422416e+22,0
0x3ff6474b512da34bbc918c07001ed8cd70122819,6,6,6,0,1.50405076e+22,0
0xfd57c9ebd454f5ee98c89496dd5106bf48405801,7,7,7,0,1.500240127730473e+22,0
0x7019794a135be62da5ca5fbdef2b683793e95e96,8,8,8,0,1.4999999999999998e+22,0
